Date,Open,High,Low,Close,Adj Close,Volume
07-10-2020,338.119995,341.630005,338.089996,340.76001,329.504456,56999600
08-10-2020,342.850006,343.850006,341.859985,343.779999,332.424744,45242500
09-10-2020,345.559998,347.350006,344.890015,346.850006,335.393341,59528600
12-10-2020,349.589996,354.019989,349.059998,352.429993,340.789001,80388500
13-10-2020,352.279999,352.470001,349.089996,350.130005,338.565002,73255500
14-10-2020,350.75,351.929993,347.140015,347.929993,336.437653,57727900
15-10-2020,343.709991,348.019989,343.130005,347.5,336.02182,60357700
16-10-2020,348.959991,350.75,347.100006,347.290009,335.818787,89501900
19-10-2020,348.649994,349.329987,341.040009,342.01001,330.713135,68425600
20-10-2020,343.459991,346.880005,342.640015,343.380005,332.037994,60051900
21-10-2020,343.329987,345.670013,342.399994,342.730011,331.409454,63575000
22-10-2020,342.959991,345.23999,340.649994,344.609985,333.227264,55399300
23-10-2020,345.929993,345.98999,343.130005,345.779999,334.358673,49143900
26-10-2020,342.130005,342.980011,335.619995,339.390015,328.179779,91473000
27-10-2020,339.76001,340.119995,337.98999,338.220001,327.048431,65994100
28-10-2020,332.100006,338.25,326.130005,326.660004,315.870209,127094300
29-10-2020,326.910004,333.399994,325.089996,329.980011,319.080597,90597700
30-10-2020,328.279999,329.690002,322.600006,326.540009,315.754181,120287300
02-11-2020,330.200012,332.359985,327.23999,330.200012,319.293304,86068300
03-11-2020,333.690002,338.25,330.290009,336.029999,324.930664,93294200
04-11-2020,340.859985,347.940002,339.589996,343.540009,332.192627,126959700
05-11-2020,349.23999,352.190002,348.859985,350.23999,338.671326,82039700
06-11-2020,349.929993,351.51001,347.649994,350.160004,338.593964,74973000
09-11-2020,363.970001,364.380005,354.059998,354.559998,342.848633,172304200
10-11-2020,353.48999,355.179993,350.51001,354.040009,342.345825,85552000
11-11-2020,356.399994,357.559998,355.059998,356.670013,344.888947,58649000
12-11-2020,355.579987,356.720001,351.26001,353.209991,341.543243,67546200
13-11-2020,355.269989,358.899994,354.709991,358.100006,346.271729,62892200
16-11-2020,360.980011,362.779999,359.589996,362.570007,350.594055,74541100
17-11-2020,359.970001,361.920013,358.339996,360.619995,348.708466,66111000
18-11-2020,360.910004,361.5,356.23999,356.279999,344.511841,70591300
19-11-2020,355.600006,358.179993,354.149994,357.779999,345.96228,59940900
20-11-2020,357.5,357.720001,355.25,355.329987,343.593231,70417300
23-11-2020,357.279999,358.820007,354.869995,357.459991,345.652863,63230600
24-11-2020,360.209991,363.809998,359.290009,363.220001,351.222626,62415900
25-11-2020,363.130005,363.160004,361.480011,362.660004,350.681091,45330900
27-11-2020,363.839996,364.179993,362.579987,363.670013,351.657776,28514100
30-11-2020,362.829987,363.119995,359.170013,362.059998,350.100922,83872700
01-12-2020,365.570007,367.679993,364.929993,366.019989,353.930084,74231400
02-12-2020,364.820007,366.959991,364.200012,366.790009,354.674683,45927000
03-12-2020,366.679993,368.190002,365.5,366.690002,354.578033,62882000
04-12-2020,367.320007,369.850006,367.220001,369.850006,357.633636,50749900
07-12-2020,369.019989,369.619995,367.720001,369.089996,356.898712,48944300
08-12-2020,367.720001,370.779999,367.670013,370.170013,357.943085,42458900
09-12-2020,370.880005,371.049988,365.950012,366.850006,354.732666,74098300
10-12-2020,365.369995,367.859985,364.429993,366.730011,354.616669,57735400
11-12-2020,364.899994,366.73999,363.26001,366.299988,354.200867,57698600
14-12-2020,368.640015,369.799988,364.470001,364.660004,352.615051,69216200
15-12-2020,367.399994,369.589996,365.920013,369.589996,357.382202,63865300
16-12-2020,369.820007,371.160004,368.869995,370.170013,357.943085,58420500
17-12-2020,371.940002,372.459991,371.049988,372.23999,359.944641,64119500
18-12-2020,370.970001,371.149994,367.019989,369.179993,358.507416,136542300
21-12-2020,364.970001,378.459991,362.029999,367.859985,357.225616,96386700
22-12-2020,368.209991,368.329987,366.029999,367.23999,356.623566,47949000
23-12-2020,368.279999,369.619995,367.220001,367.570007,356.944,46201400
24-12-2020,368.079987,369.029999,367.450012,369,358.332672,26457900
28-12-2020,371.73999,372.589996,371.070007,372.170013,361.411041,39000400
29-12-2020,373.809998,374,370.829987,371.459991,360.721558,53680500
30-12-2020,372.339996,373.100006,371.570007,371.98999,361.236206,49455300
31-12-2020,371.779999,374.660004,371.230011,373.880005,363.071564,78520700
04-01-2021,375.309998,375.450012,364.820007,368.790009,358.128754,110210800
05-01-2021,368.100006,372.5,368.049988,371.329987,360.595245,66426200
06-01-2021,369.709991,376.980011,369.119995,373.549988,362.75116,107997700
07-01-2021,376.100006,379.899994,375.910004,379.100006,368.140656,68766800
08-01-2021,380.589996,381.48999,377.100006,381.26001,370.238281,71677200
11-01-2021,377.850006,380.579987,377.720001,378.690002,367.742554,51034700
12-01-2021,378.890015,379.859985,376.359985,378.769989,367.82019,52547700
13-01-2021,378.690002,380.859985,377.850006,379.790009,368.81073,45303600
14-01-2021,380.589996,381.130005,378.100006,378.459991,367.519226,49989100
15-01-2021,376.720001,377.579987,373.700012,375.700012,364.838959,107160000
19-01-2021,378.339996,379.230011,376.75,378.649994,367.703705,51233300
20-01-2021,381.109985,384.790009,380.690002,383.890015,372.792236,61836100
21-01-2021,384.48999,384.950012,383.25,384.23999,373.13205,47840100
22-01-2021,382.25,384.130005,381.839996,382.880005,371.811401,52860500
25-01-2021,383.670013,384.769989,378.459991,384.390015,373.27774,70402000
26-01-2021,385.410004,385.850006,383.540009,383.790009,372.695068,42665300
27-01-2021,380.220001,380.320007,372.01001,374.410004,363.586273,123351100
28-01-2021,376.359985,381.929993,375.890015,377.630005,366.713165,94198100
29-01-2021,375.630005,376.670013,368.269989,370.070007,359.371704,126765100
01-02-2021,373.720001,377.339996,370.380005,376.230011,365.353668,75817600
02-02-2021,379.649994,383.220001,376.320007,381.549988,370.519836,64450700
03-02-2021,382.440002,383.700012,380.480011,381.850006,370.811188,52427100
04-02-2021,382.959991,386.23999,381.970001,386.190002,375.025696,47142600
05-02-2021,388.200012,388.470001,386.140015,387.709991,376.50177,48669800
08-02-2021,389.269989,390.559998,388.350006,390.51001,379.220825,38365200
09-02-2021,389.609985,390.890015,389.170013,390.25,378.968323,35551100
10-02-2021,392.119995,392.279999,387.5,390.079987,378.803253,59154400
11-02-2021,391.23999,391.690002,388.100006,390.709991,379.415039,42913300
12-02-2021,389.850006,392.899994,389.769989,392.640015,381.289276,50593300
16-02-2021,393.959991,394.170013,391.529999,392.299988,380.959076,50972400
17-02-2021,390.420013,392.660004,389.329987,392.390015,381.046539,52290600
18-02-2021,389.589996,391.519989,387.73999,390.720001,379.424713,59712800
19-02-2021,392.070007,392.380005,389.549988,390.029999,378.7547,83241000
22-02-2021,387.059998,389.619995,386.73999,387.029999,375.841461,67414200
23-02-2021,384.660004,388.950012,380.200012,387.5,376.297852,107284100
24-02-2021,386.329987,392.230011,385.269989,391.769989,380.444458,72433900
25-02-2021,390.410004,391.880005,380.779999,382.329987,371.277283,146670500
26-02-2021,384.350006,385.579987,378.230011,380.359985,369.364258,152701600
01-03-2021,385.589996,390.920013,380.570007,389.579987,378.317719,105348800
02-03-2021,389.820007,390.070007,386,386.540009,375.365631,79595300
03-03-2021,385.790009,386.829987,381.309998,381.420013,370.393646,119940200
04-03-2021,381.220001,384,371.880005,376.700012,365.810059,183433000
05-03-2021,380.459991,384.76001,372.640015,383.630005,372.539764,152039600
08-03-2021,384.660004,387.679993,381.420013,381.720001,370.684967,123149200
09-03-2021,385.850006,389.910004,385.309998,387.170013,375.977386,113633600
10-03-2021,389.690002,391.399994,388.170013,389.579987,378.317719,109899400
11-03-2021,392.230011,395.649994,391.73999,393.529999,382.153534,86245000
12-03-2021,392.070007,394.209991,391.200012,394.059998,382.668213,64653600
15-03-2021,394.329987,396.690002,392.029999,396.410004,384.950256,73427200
16-03-2021,397.070007,397.829987,395.079987,395.910004,384.464722,73722500
17-03-2021,394.529999,398.119995,393.299988,397.26001,385.775696,97959300
18-03-2021,394.480011,396.720001,390.75,391.480011,380.162811,115349100
19-03-2021,389.880005,391.570007,387.149994,389.480011,379.459381,113624500
22-03-2021,390.029999,394.070007,389.970001,392.589996,382.489319,73778600
23-03-2021,391.910004,393.459991,388.660004,389.5,379.478882,90686600
24-03-2021,391,392.75,387.470001,387.519989,377.549744,97588600
25-03-2021,385.980011,390.549988,383.899994,389.700012,379.673737,116128600
26-03-2021,390.929993,396.410004,390.290009,395.980011,385.792175,114409100
29-03-2021,394.399994,396.75,392.809998,395.779999,385.597321,108107600
30-03-2021,394.420013,395.450012,393.019989,394.730011,384.57428,76262200
31-03-2021,395.339996,398,395.309998,396.329987,386.133118,112734200
01-04-2021,398.399994,400.670013,398.179993,400.609985,390.30304,99682900
